year;quater;SFSI;BNP;CPI;DINT
1995;4;-0.725345719588824;3.2764586155257;0.366819723099329;-0.33666666666667
1996;1;-0.512091888156534;2.67317756507837;0.339452700519565;-1.11566688156447
1996;2;-0.647704761543087;1.3633909287257;0.0381302800817297;-1.59533290353772
1996;3;-0.394077631927014;1.34678909864748;-0.130813600709471;-0.92900021489781
1996;4;-0.644599123221258;0.99758187151511;-0.213838573916812;-0.82666666666666
1997;1;-0.757437315581061;1.18433286203918;0.176711666130235;-0.2964902477821
1997;2;-0.530725718087511;3.29729324810227;0.377799221367199;-0.0236861711024701
1997;3;0.101789286791757;3.57003325680633;0.493812408321757;0.12684308555123
1997;4;0.205310564186072;4.95975997224542;0.239336673523996;0.206666666666671
1998;1;0.269493756170548;4.44808729799494;-0.742160525581142;0.0544637013946598
1998;2;0.593515354414755;4.59904409286186;-0.0645375487352656;0.0444059305440199
1998;3;-0.043140501560285;4.37763171750266;-0.301358540261683;-0.25553629860535
1998;4;-0.574204654593123;3.50867107907051;0.0493743010625488;-0.370000000000001
1999;1;-0.401324121344616;4.25449401427102;0.0180061040993164;-0.57107856467328
1999;2;0.154585138262857;3.53636444171687;0.172049102733822;-0.3445095373201
1999;3;0.188747159802982;3.77248376571549;0.474252023295747;0.14225476866005
1999;4;-0.431345291788968;4.50740526635987;0.199257212247888;0.32
2000;1;-0.290556354532699;4.03705890503468;0.317009279976884;0.4339015010953
2000;2;-0.00794326724621767;5.95221118445282;0.20649747973293;0.25886366447606
2000;3;-0.347493057099572;5.97620495049261;0.364664022428273;-0.0427651655713595
2000;4;0.370944608016977;3.6975307523687;0.596517851947357;0.0299999999999994
2001;1;0.355416416407829;3.39494915075277;0.295189884445124;-0.00345794882985917
2001;2;-0.174612523851066;0.865847478356742;1.38634872990689;0.0835825643263899
2001;3;-0.537972207505113;0.460885145656661;0.498125282288156;0.0998753845034699
2001;4;-0.574204654593123;1.61809923130678;0.363165532986406;-0.495
2002;1;-0.535901781957226;1.09221005432039;0.353343207934656;0.26517641888457
2002;2;-0.0421052887863419;2.68791315133885;0.723807112858194;0.23298049556419
2002;3;-0.618718803872679;2.90358301218997;0.414533726843616;0.0035097522179095
2002;4;-0.565922952401578;2.17973095486153;0.433948554972486;-0.323333333333339
2003;1;-0.586627207880441;3.54978643197334;1.3795559190075;-0.39943183223803
2003;2;-0.734662634554312;1.31584002458796;-0.346938210828993;-0.2778030021906
2003;3;-0.510021462608648;2.20306922262984;-0.0996397878804123;-0.5060984989047
2003;4;-0.679796357535325;2.67938365314617;0.0882078016646937;0.0166666666666697
2004;1;-0.663232953152234;3.37322284732421;0.457124155282481;-0.26622908186384
2004;2;-0.654951250960689;4.40158772114727;0.00565875598892479;-0.43087516960566
2004;3;-0.523479228669909;3.70898731798244;0.292469506773478;-0.02622908186384
2004;4;-0.662197740378291;3.9496481311954;0.0416481448094394;0
2005;1;-0.372338163674208;2.46165163902783;0.0109758759287041;0.0568430855512401
2005;2;-0.159084332241918;2.77546023542432;0.0208089632003965;-0.27368617110247
2005;3;-0.446873483398115;3.16664158589599;0.247382701445066;-0.29982358111543
2005;4;-0.729486570684596;3.00014817881925;0.36197494368121;0.08666666666666
2006;1;-0.658056889282519;4.16909569118089;-0.0176993549585558;0.27390150109531
2006;2;-0.701535825788131;5.12744288924599;0.741510234871162;0.35553033114272
2006;3;-0.596979335619873;5.12809977205934;0.438608943495888;0.22390150109531
2006;4;-0.757437315581061;5.11212619923865;0.313873991519235;0.46333333333333
2007;1;-0.630106144386054;4.51364573045324;0.398290138585278;0.37835923502735
2007;2;-0.606296250585361;3.35433376046066;0.608136306124182;0.1332815299453
2007;3;-0.607331463359304;2.94326577234589;0.567548747906187;0.18502590169402
2007;4;-0.646669548769144;3.43989788440165;1.53832337284801;0.40666666666666
2008;1;-0.448943908946002;1.61985431885847;0.965444498637905;0.27350975221791
2008;2;0.317113543771933;1.1000311862046;1.1583812353269;-0.18701950443581
2008;3;1.09145269868141;-0.211287057101605;0.837997804504445;0.34017641888457
2008;4;1.06143152823706;-4.83351366264311;-0.512114094485187;-1.52666666666667
2009;1;0.75604375992383;-5.49104266806173;-0.88865609286868;-2.04886963193867
2009;2;3.69915367624422;-5.40075868183525;-0.200833670345347;-0.415594069455988
2009;3;3.30991367324159;-4.95264511084668;-0.0512496898547946;-0.25553629860534
2009;4;2.70431420048485;-1.01662993585668;0.461348318564363;0.013333333333334
2010;1;2.8016242012355;3.16208936130599;0.200238639606854;0.08225476866005
2010;2;1.89891866235707;5.22977606535994;0.0716842867978921;-0.021176203986767
2010;3;1.58110834075652;6.55912590355356;0.451764422835249;0.215588101993383
2010;4;0.92685386762445;7.77615620252535;0.978912872011109;0.613333333333337
2011;1;1.10180482642084;5.35525944268121;1.13014237957866;0.52056816776197
2011;2;0.802628334751272;3.53969094360391;0.711018279814026;0.33553033114272
2011;3;0.58212801390138;3.65555306158673;0.252894371042664;-0.22609849890469
2011;4;0.475501098185235;0.566234457668295;0.502691048155558;-0.27333333333334
2012;1;2.32335589967377;0.403479446125223;0.532650297461185;0.12835923502736
2012;2;3.37306165245212;0.204355170387776;0.0713286539061966;-0.20338513672138
2012;3;2.54799707161943;-1.22314184368247;-0.1133200852581;-0.25164076497264
2012;4;0.786064930368182;-0.534002444830471;0.0518556061660119;-0.0800000000000001
2013;1;1.86579185359089;0.673187878031826;-0.090823305939976;0.0235097522179
2013;2;-0.116640608510249;0.448371332819068;-0.151809241005497;-0.180352837769142
2013;3;-0.430310079015025;1.02961342487491;0.266578430546997;0.056843085551238
2013;4;-0.502774973191046;2.47347994825355;-0.166541335491853;-0.0299999999999989
2014;1;-0.342316993229857;1.8928953782374;-0.268300170427593;-0.226098498904701
2014;2;-0.528655292539624;2.82497263772346;0.201794740688145;0.055530331142735
2014;3;-0.653916038186746;3.10275639163277;-0.16409587033797;-0.492765165571368
2014;4;-0.769859868868379;3.1844922486492;-0.219606026775026;-0.14
2015;1;-0.733627421780369;3.7645533398909;-0.0164352103793927;-0.0570524480814566
2015;2;-0.716028804623335;3.95405957034629;-0.00389160114307596;-0.342561770503753
2015;3;-0.306084546141846;4.63889610475382;-0.0844796640228139;-0.157052448081457
2015;4;-0.440662206754456;4.62997352927554;0.231025397236519;0.08
2016;1;0.199099287542413;3.06420463995574;0.810302861402041;-0.053156914448762
2016;2;-0.179788587720781;2.14062033363198;0.168490743723109;-0.230352837769143
2016;3;-0.39925369579673;1.0398091383032;0.143109775007576;-0.043156914448762
2016;4;-0.583521569558612;1.19881763655937;0.539753222342785;-0.056666666666667
2017;1;-0.521408803122022;1.73208713364038;0.446204133601893;0.0105681677619659
2017;2;0.14216258497554;2.94360157622526;0.464130752266835;0.195530331142735
2017;3;-0.397183270248844;3.62403396157584;0.596260386668293;-0.159431832238034
2017;4;-0.684972421405041;2.91891160235587;0.196022208836152;0.0166666666666659
2018;1;-0.669444229795893;2.73204506394908;0.397714761951198;0.113509752217906
2018;2;-0.562817314079749;2.52379140011997;0.665494966426099;-0.153686171102477
2018;3;-0.658056889282519;0.817417010472088;0.784856504634124;0.0601764188845719
2018;4;-0.658056889282519;2.06402337804394;0.227093049313405;-0.00333333333333397
2019;1;-0.489317207129784;2.3525675028062;0.156868018538932;0.2139015010953
2019;2;-0.605261037811418;1.75189749978826;0.833775441177005;0.152196997809401
2019;3;-0.588697633428327;2.61270332519356;0.302132287284293;-0.082765165571367
2019;4;-0.674620293665609;1.38349361996356;0.189974992411305;-0.043333333333334
2020;1;-0.55350039911426;0.0264203683843622;-0.0461550561134696;0.267797034727994
2020;2;-0.559711675757919;-8.28942066392533;-0.0100123755904316;0.091072597210679
2020;3;-0.0907602891616701;-2.0833576126268;0.476929042421131;-0.012202965272006
2020;4;0.895797484406156;-2.01297654549851;0.191156922163668;-0.033333333333333
2021;1;-0.319542312203107;0.00695500502479922;0.61208750032601;0.038921435326716
2021;2;-0.604225825037475;9.59128712535359;0.276639911818595;-0.091176203986766
2021;3;-0.408570610762219;4.54784216331163;0.952275351164572;0.03225476866005
